역코드,역명,승강기명,운행구간,설치위치,승강기 구분
145,온수(1),None,None,None,None
144,오류동,None,None,None,None
143,개봉,None,None,None,None
142,구일,None,None,None,None
141,구로,None,None,None,None
140,신도림(1),None,None,None,None
139,영등포,None,None,None,None
138,신길(1),None,None,None,None
137,대방,None,None,None,None
136,"	
노량진(1)",None,None,None,None
135,용산(1),None,None,None,None
134,남영,None,None,None,None
133,서울역(1),승강기)에스컬레이터 1,B2-B1,4호선연결통로,ES
133,서울역(1),승강기)에스컬레이터 2,B1-B2,하행 2-3,ES
133,서울역(1),승강기)에스컬레이터 3,B2-B1,상행 9-3,ES
133,서울역(1),승강기)에스컬레이터 4,B1-F1,4번 출구측,ES
133,서울역(1),승강기)에스컬레이터 5,F1-B1,4번 출구측,ES
133,서울역(1),승강기)엘리베이터 내부#1,B2-B1,승강장,EV
133,서울역(1),승강기)엘리베이터 외부#1,B1-F1,2번 출구측,EV
133,서울역(1),승강기)엘리베이터 외부#2,B1-F1,4번 출구측,EV
133,서울역(1),승강기)엘리베이터 외부#3,B1-F1,3번 출구측,EV
133,서울역(1),승강기)휠체어리프트 내부1,B2-B1,내부 C 계단,WL
132,시청(1),승강기)에스컬레이터 1,F1-B1,5번 출구측,ES
132,시청(1),승강기)에스컬레이터 2,B1-F1,5번 출구측,ES
132,시청(1),승강기)에스컬레이터 3,B1-F1,1번 출구측,ES
132,시청(1),승강기)엘리베이터 내부#1,B2-B1,상행 3-2,EV
132,시청(1),승강기)엘리베이터 내부#2,B2-B1,하행 8-3,EV
132,시청(1),승강기)엘리베이터 외부#1,B1-F1,12번출구사이,EV
131,종각,승강기)에스컬레이터 1,F1-B1,1번 출구측,ES
131,종각,승강기)에스컬레이터 2,B1-F1,1번 출구측,ES
131,종각,승강기)엘리베이터 내부#1,B2-B1,상행 6-4,EV
131,종각,승강기)엘리베이터 내부#2,B2-B1,하행 4-4,EV
131,종각,승강기)엘리베이터 외부#1,B1-F1,3번 출구측,EV
131,종각,승강기)엘리베이터 외부#2,B1-F1,1번 출구측,EV
130,종로3가(1),승강기)에스컬레이터 1,F1-B1,1번 출구측,ES
130,종로3가(1),승강기)에스컬레이터 2,B1-F1,1번 출구측,ES
130,종로3가(1),승강기)에스컬레이터 3,F1-B1,14번 출구측,ES
130,종로3가(1),승강기)에스컬레이터 4,B1-F1,14번 출구측,ES
130,종로3가(1),승강기)엘리베이터 내부#1,B2-B1,상행 4-4,EV
130,종로3가(1),승강기)엘리베이터 내부#2,B2-B1,하행 6-4,EV
130,종로3가(1),승강기)엘리베이터 외부#1,B1-F1,1213번출구,EV
129,종로5가,승강기)엘리베이터 내부#1,B2-B1,상행 8-3,EV
129,종로5가,승강기)엘리베이터 내부#2,B2-B1,하행 3-2,EV
129,종로5가,승강기)엘리베이터 외부#1,B1-F1,89번출구측,EV
128,동대문(1),승강기)에스컬레이터 1,B1-F1,1번 출구측,ES
128,동대문(1),승강기)엘리베이터 내부#1,B2-B1,상행 10-4,EV
128,동대문(1),승강기)엘리베이터 내부#2,B2-B1,하행 2-1,EV
128,동대문(1),승강기)엘리베이터 외부#1,B1-F1,6번 출구측,EV
127,동묘앞(1),승강기)에스컬레이터 1,B2-B3,청량리방향9-1,ES
127,동묘앞(1),승강기)에스컬레이터 10,B1-F1,2번 출입구,ES
127,동묘앞(1),승강기)에스컬레이터 11,F1-B1,3번 출입구,ES
127,동묘앞(1),승강기)에스컬레이터 12,B1-F1,3번 출입구,ES
127,동묘앞(1),승강기)에스컬레이터 2,B3-B2,청량리방향9-1,ES
127,동묘앞(1),승강기)에스컬레이터 3,B1-B2,청량리방향6-2,ES
127,동묘앞(1),승강기)에스컬레이터 4,B2-B1,시청방향 5-4,ES
127,동묘앞(1),승강기)에스컬레이터 5,B1-B2,시청방향 2-4,ES
127,동묘앞(1),승강기)에스컬레이터 6,B2-B1,시청방향 2-4,ES
127,동묘앞(1),승강기)에스컬레이터 7,F1-B1,1번 출입구,ES
127,동묘앞(1),승강기)에스컬레이터 8,B1-F1,1번 출입구,ES
127,동묘앞(1),승강기)에스컬레이터 9,F1-B1,2번 출입구,ES
127,동묘앞(1),승강기)엘리베이터 내부#1,B1-4F,본관건물,EV
127,동묘앞(1),승강기)엘리베이터 내부#2,B2-BM2-B1,상행 10-3,EV
127,동묘앞(1),승강기)엘리베이터 내부#3,B2-B1,상행 4-8,EV
127,동묘앞(1),승강기)엘리베이터 내부#4,B2-B1,하행 7-3,EV
127,동묘앞(1),승강기)엘리베이터 내부#5,B2-B1,하행 1-2,EV
127,동묘앞(1),승강기)엘리베이터 외부#1,B1-BM1-1F,외부,EV
