역코드,역명,상하행,출구,빠른하차,
145,온수(1),0,"1번출구, 3번출구, 7번출구, 8번출구",2-2,
145,온수(1),0,"2번출구, 4번출구, 5번출구, 6번출구",1-1,
145,온수(1),1,"1번출구, 3번출구, 7번출구, 8번출구",9-1,
145,온수(1),1,"2번출구, 4번출구, 5번출구, 6번출구",1-4,
144,오류동,0,"1번출구, 2번출구, 3번출구",4-1,
144,오류동,1,"1번출구, 2번출구, 3번출구",7-3,
143,개봉,0,"1번출구, 2번출구",6-3,
143,개봉,1,"1번출구, 2번출구",5-1,
142,구일,0,2번출구,10-4,
142,구일,1,1번출구,8-4,
142,구일,1,2번출구,1-1,
141,구로,0,"1번출구, 2번출구, 3번출구",10-4,
141,구로,1,"1번출구, 2번출구, 3번출구",1-1,
140,신도림(1),0,"1번출구, 2번출구, 3번출구",10-1,
140,신도림(1),0,"1번출구, 2번출구, 3번출구",4-4,
140,신도림(1),0,"4번출구, 5번출구, 6번출구",3-4,
140,신도림(1),0,"4번출구, 5번출구, 6번출구",8-4,
140,신도림(1),1,"1번출구, 2번출구, 3번출구",2-3,
140,신도림(1),1,"1번출구, 2번출구, 3번출구",3-2,
140,신도림(1),1,"4번출구, 5번출구, 6번출구",4-4,
139,영등포,0,"1번출구, 2번출구",8-2,
139,영등포,0,"3번출구, 4번출구, 5번출구, 6번출구",6-2,
139,영등포,0,"3번출구, 4번출구, 6번출구",6-4,
139,영등포,0,5번출구,2-4,
139,영등포,1,"1번출구, 2번출구",2-4,
139,영등포,1,"1번출구, 2번출구, 3번출구",3-3,
139,영등포,1,"3번출구, 4번출구, 5번출구, 6번출구",4-4,
139,영등포,1,"4번출구, 5번출구, 6번출구",5-2,
139,영등포,1,"4번출구, 5번출구, 6번출구",9-1,
138,신길(1),0,"1번출구, 2번출구",10-4,
138,신길(1),0,3번출구,9-1,
138,신길(1),1,"1번출구, 2번출구",1-1,
138,신길(1),1,3번출구,2-4,
137,대방,0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구",4-2,
137,대방,0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구",6-4,
137,대방,1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 7번출구",7-2,
137,대방,1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구",7-3,
137,대방,1,6번출구,4-4,
136,"	
노량진(1)",0,"1번출구, 2번출구",1-1,
136,"	
노량진(1)",0,"3번출구, 3-1번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구",5-2,
136,"	
노량진(1)",1,1번출구,10-2,
136,"	
노량진(1)",1,"1번출구, 2번출구",10-4,
136,"	
노량진(1)",1,"3번출구, 3-1번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구",6-3,
135,용산(1),0,"1번출구, 2번출구, 3번출구",3-1,
135,용산(1),0,"1번출구, 2번출구, 3번출구",6-3,
135,용산(1),0,"1번출구, 2번출구, 3번출구",10-2,
135,용산(1),0,"1번출구, 2번출구, 3번출구",9-3,
135,용산(1),1,"1번출구, 2번출구, 3번출구",1-1,
134,남영,0,1번출구,1-1,
134,남영,1,1번출구,10-4,
133,서울역(1),0,"1번출구, 9-1번출구, 11번출구, 12번출구, 13번출구, 14번출구",9-4,
133,서울역(1),0,"2번출구, 6번출구, 7번출구, 8번출구, 9번출구",3-4,
133,서울역(1),0,"3번출구, 4번출구, 5번출구",1-1,
133,서울역(1),0,"8번출구, 9번출구",7-3,
133,서울역(1),0,10번출구,9-3,
133,서울역(1),0,15번출구,10-4,
133,서울역(1),1,"1번출구, 9-1번출구, 10번출구, 11번출구, 12번출구, 13번출구, 14번출구",2-3,
133,서울역(1),1,"2번출구, 6번출구, 7번출구, 8번출구, 9번출구",8-2,
133,서울역(1),1,"3번출구, 4번출구, 5번출구",10-4,
133,서울역(1),1,"8번출구, 9번출구",4-3,
133,서울역(1),1,15번출구,1-2,
132,시청(1),0,"1번출구, 6번출구, 7번출구, 8번출구, 9번출구, 10번출구, 11번출구, 12번출구",6-1,
132,시청(1),0,"1번출구, 6번출구, 7번출구, 8번출구, 9번출구, 10번출구, 11번출구, 12번출구",7-4,
132,시청(1),0,"2번출구, 3번출구, 4번출구, 5번출구",4-1,
132,시청(1),0,"2번출구, 3번출구, 4번출구, 5번출구",2-2,
132,시청(1),1,"1번출구, 6번출구, 7번출구, 8번출구, 9번출구, 10번출구, 11번출구, 12번출구",4-1,
132,시청(1),1,"1번출구, 6번출구, 7번출구, 8번출구, 9번출구, 10번출구, 11번출구, 12번출구",5-4,
132,시청(1),1,"2번출구, 3번출구, 4번출구, 5번출구",7-4,
132,시청(1),1,"2번출구, 3번출구, 4번출구, 5번출구",9-3,
131,종각,0,"1번출구, 2번출구, 3번출구, 3-1번출구, 4번출구, 5번출구, 6번출구",7-4,
131,종각,0,"1번출구, 2번출구, 3번출구, 3-1번출구, 4번출구, 5번출구, 6번출구",6-1,
131,종각,0,"7번출구, 8번출구, 9번출구, 10번출구, 11번출구, 12번출구",1-4,
131,종각,1,"1번출구, 2번출구, 3번출구, 3-1번출구, 4번출구, 5번출구, 6번출구",4-1,
131,종각,1,"1번출구, 2번출구, 3번출구, 3-1번출구, 4번출구, 5번출구, 6번출구",5-4,
131,종각,1,"7번출구, 8번출구, 9번출구, 10번출구, 11번출구, 12번출구",10-1,
130,종로3가(1),0,"1번출구, 2번출구, 2-1번출구, 9번출구, 14번출구, 15번출구",7-3,
130,종로3가(1),0,"3번출구, 6번출구, 7번출구, 8번출구",6-1,
130,종로3가(1),0,"4번출구, 5번출구, 10번출구, 11번출구, 12번출구, 13번출구",4-2,
130,종로3가(1),1,"1번출구, 2번출구, 2-1번출구, 9번출구, 14번출구, 15번출구",4-2,
130,종로3가(1),1,"3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구, 10번출구, 11번출구, 12번출구, 13번출구",7-3,
129,종로5가,0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구",4-2,
129,종로5가,1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구",7-3,
128,동대문(1),0,"1번출구, 6번출구, 7번출구, 8번출구, 9번출구, 10번출구",8-4,
128,동대문(1),0,"2번출구, 3번출구, 4번출구, 5번출구",2-3,
128,동대문(1),1,"1번출구, 6번출구, 7번출구, 8번출구, 9번출구, 10번출구",3-1,
128,동대문(1),1,"2번출구, 3번출구, 4번출구, 5번출구",9-2,
127,동묘앞(1),0,"1번출구, 8번출구, 9번출구, 10번출구",10-4,
127,동묘앞(1),0,"2번출구, 3번출구",4-3,
127,동묘앞(1),0,"4번출구, 5번출구, 6번출구, 7번출구",9-1,
127,동묘앞(1),1,"1번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구, 9번출구, 10번출구",2-3,
127,동묘앞(1),1,"2번출구, 3번출구",7-1,
126,신설동(1),0,"1번출구, 6번출구, 7번출구, 8번출구, 9번출구, 10번출구, 11번출구, 12번출구",9-4,
126,신설동(1),0,"2번출구, 3번출구, 4번출구, 5번출구",3-1,
126,신설동(1),0,"2번출구, 3번출구, 4번출구, 5번출구",3-2,
126,신설동(1),0,"2번출구, 3번출구, 4번출구, 5번출구",4-4,
126,신설동(1),1,"1번출구, 2번출구, 9번출구, 10번출구, 12번출구",4-4,
126,신설동(1),1,"1번출구, 2번출구",3-2,
126,신설동(1),1,"3번출구, 4번출구",9-4,
126,신설동(1),1,"3번출구, 4번출구, 5번출구, 6번출구",8-4,
126,신설동(1),1,"5번출구, 6번출구",7-1,
126,신설동(1),1,"7번출구, 8번출구, 11번출구",2-1,
125,제기동,0,"1번출구, 5번출구, 6번출구",9-1,
125,제기동,0,"2번출구, 3번출구, 4번출구",4-4,
125,제기동,1,"1번출구, 5번출구, 6번출구",2-4,
125,제기동,1,"2번출구, 3번출구, 4번출구",7-1,
124,청량리(1),0,"1번출구, 6번출구",10-4,
124,청량리(1),0,"2번출구, 3번출구, 4번출구",1-1,
124,청량리(1),1,"1번출구, 6번출구",1-1,
124,청량리(1),1,"2번출구, 3번출구, 4번출구",10-4,
123,회기(1),0,"1번출구, 2번출구",4-3,
123,회기(1),1,"1번출구, 2번출구",7-2,
122,외대앞,0,"1번출구, 2번출구",10-4,
122,외대앞,1,"1번출구, 2번출구",1-1,
121,신이문,0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구",1-1,
121,신이문,1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구",10-4,
120,석계(1),0,"1번출구, 6번출구, 7번출구",8-1,
120,석계(1),0,"2번출구, 3번출구, 4번출구, 5번출구",10-4,
120,석계(1),1,"1번출구, 6번출구, 7번출구",3-4,
120,석계(1),1,"2번출구, 3번출구, 4번출구, 5번출구",1-1,
119,광운대,0,"1번출구, 2번출구",6-3,
119,광운대,0,"1번출구, 2번출구",6-4,
119,광운대,0,"1번출구, 2번출구",7-1,
119,광운대,0,"1번출구, 2번출구",6-2,
119,광운대,1,"1번출구, 2번출구",5-4,
119,광운대,1,"1번출구, 2번출구",8-2,
119,광운대,1,"1번출구, 2번출구",8-3,
119,광운대,1,"1번출구, 2번출구",6-2,
118,월계,0,"1번출구, 2번출구",2-2,
118,월계,0,"1번출구, 2번출구",2-3,
118,월계,0,"3번출구, 4번출구",10-4,
118,월계,1,"1번출구, 2번출구",9-2,
118,월계,1,"1번출구, 2번출구",9-3,
118,월계,1,"3번출구, 4번출구",1-1,
117,녹천,0,"1번출구, 2번출구",2-1,
117,녹천,0,"3번출구, 4번출구",10-4,
117,녹천,1,"1번출구, 2번출구",9-4,
117,녹천,1,"3번출구, 4번출구",1-1,
116,창동(1),0,"1번출구, 2번출구",1-3,
116,창동(1),1,"1번출구, 2번출구",10-3,
115,방학,0,"1번출구, 2번출구",1-1,
115,방학,0,3번출구,10-4,
115,방학,1,"1번출구, 2번출구",10-4,
115,방학,1,3번출구,1-1,
114,도봉,0,1번출구,1-1,
114,도봉,0,"2번출구, 3번출구",10-4,
114,도봉,1,1번출구,10-4,
114,도봉,1,"2번출구, 3번출구",1-1,
113,도봉산(1),0,"1번출구, 2번출구, 3번출구",7-2,
113,도봉산(1),0,"1번출구, 2번출구, 3번출구",10-4,
113,도봉산(1),0,1-1번출구,2-2,
113,도봉산(1),1,"1번출구, 2번출구, 3번출구",1-1,
113,도봉산(1),1,"1번출구, 2번출구, 3번출구",4-2,
113,도봉산(1),1,"1번출구, 2번출구, 3번출구",4-3,
113,도봉산(1),1,1-1번출구,9-3,
201,시청(2),0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구, 11번출구, 12번출구",2-2,
201,시청(2),0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구, 11번출구, 12번출구",4-1,
201,시청(2),0,"9번출구, 10번출구",7-4,
201,시청(2),0,"9번출구, 10번출구",9-4,
201,시청(2),1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구, 11번출구, 12번출구",7-4,
201,시청(2),1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구, 11번출구, 12번출구",9-3,
